Sample	lat	long	replicates	controls	group1	group2	fake_pH	fake_O2	sites
18cp2	48.1663	-124.756833	CANS	NA	1	near	6.7	150	CANS
18cp24	48.1663	-124.756833	CANS	NA	1	near	6.7	150	CANS
18cp30	48.1663	-124.756833	CANS	NA	1	near	6.7	150	CANS
18cp35	48.1663	-124.756833	CANS	NA	1	near	6.7	150	CANS
18cp1	48.166017	-124.823367	CA42	NA	1	offshore	6.2	250	CA42
18cp3	48.166017	-124.823367	CA42	NA	1	offshore	6.2	250	CA42
18cp4	48.166017	-124.823367	CA42	NA	1	offshore	6.2	250	CA42
18cp13	48.166017	-124.823367	CA42	NA	1	offshore	6.2	250	CA42
18cp25	48.166017	-124.823367	CA42	NA	1	offshore	6.2	250	CA42
18cp5	48.323967	-124.735383	MB42	NA	2	offshore	6.8	250	MB42
18cp14	48.323967	-124.735383	MB42	NA	2	offshore	6.8	250	MB42
18cp22	48.323967	-124.735383	MB42	NA	2	offshore	6.8	250	MB42
18cp26	48.323967	-124.735383	MB42	NA	2	offshore	6.8	250	MB42
18cp28	48.323967	-124.735383	MB42	NA	2	offshore	6.8	250	MB42
18cp9	47.876117	-124.619467	THNS	NA	3	near	6.9	150	THNS
18cp15	47.876117	-124.619467	THNS	NA	3	near	6.9	150	THNS
18cp29	47.876117	-124.619467	THNS	NA	3	near	6.9	150	THNS
18cp31	47.876117	-124.619467	THNS	NA	3	near	6.9	150	THNS
18cp32	47.876117	-124.619467	THNS	NA	3	near	6.9	150	THNS
18cp10	47.87615	-124.733417	TH42	NA	3	offshore	6.5	250	TH42
18cp20	47.87615	-124.733417	TH42	NA	3	offshore	6.5	250	TH42
18cp27	47.87615	-124.733417	TH42	NA	3	offshore	6.5	250	TH42
18cp36	47.87615	-124.733417	TH42	NA	3	offshore	6.5	250	TH42
18cp37	47.87615	-124.733417	TH42	NA	3	offshore	6.5	250	TH42
18cp7	47.600833	-124.4284	CLNS	NA	4	near	7	150	CLNS
18cp16	47.600833	-124.4284	CLNS	NA	4	near	7	150	CLNS
18cp21	47.600833	-124.4284	CLNS	NA	4	near	7	150	CLNS
18cp33	47.600833	-124.4284	CLNS	NA	4	near	7	150	CLNS
18cp34	47.600833	-124.4284	CLNS	NA	4	near	7	150	CLNS
18cp8	47.594567	-124.497067	CL42	NA	4	offshore	6.9	250	CL42
18cp19	47.594567	-124.497067	CL42	NA	4	offshore	6.9	250	CL42
18cp44	47.594567	-124.497067	CL42	NA	4	offshore	6.9	250	CL42
18cp45	47.594567	-124.497067	CL42	NA	4	offshore	6.9	250	CL42
18cp46	47.594567	-124.497067	CL42	NA	4	offshore	6.9	250	CL42
18cp6	47.594567	-124.497067	CL42B	NA	6	deep	7.2	200	CL42
18cp18	47.594567	-124.497067	CL42B	NA	6	deep	7.2	200	CL42
18cp12	47.356783	-124.348133	CENS	NA	5	near	7.2	150	CENS
18cp40	47.356783	-124.348133	CENS	NA	5	near	7.2	150	CENS
18cp41	47.356783	-124.348133	CENS	NA	5	near	7.2	150	CENS
18cp42	47.356783	-124.348133	CENS	NA	5	near	7.2	150	CENS
18cp43	47.356783	-124.348133	CENS	NA	5	near	7.2	150	CENS
18cp11	47.353133	-124.488733	CE42	NA	5	offshore	7	250	CE42
18cp17	47.353133	-124.488733	CE42	NA	5	offshore	7	250	CE42
18cp23	47.353133	-124.488733	CE42	NA	5	offshore	7	250	CE42
18cp38	47.353133	-124.488733	CE42	NA	5	offshore	7	250	CE42
18cp39	47.353133	-124.488733	CE42	NA	5	offshore	7	250	CE42
18cp48_neg	NA	NA	negative	negative	NA	NA	NA	NA	negative
18cp47_pos	NA	NA	positive	positive	NA	NA	NA	NA	positive
